更新日期及時間（以本地時間表示）,完結日期及時間（以本地時間表示）,緯度（度）,經度（度）,臨近預測半小時累計雨量（毫米）
202608021500,202608021530,23.487,112.956,0.08
202608021500,202608021530,23.487,112.976,0.28
202608021500,202608021530,23.487,112.995,0.48
202608021500,202608021530,23.487,113.015,0.42
202608021500,202608021530,23.487,113.034,0.33
202608021500,202608021530,23.487,113.054,0.39
202608021500,202608021530,23.487,113.073,0.50
202608021500,202608021530,23.487,113.093,0.51
202608021500,202608021530,23.487,113.112,0.56
202608021500,202608021530,23.487,113.131,0.86
202608021500,202608021530,23.487,113.151,1.35
202608021500,202608021530,23.487,113.170,2.09
202608021500,202608021530,23.487,113.190,1.99
202608021500,202608021530,23.487,113.209,2.11
202608021500,202608021530,23.487,113.229,2.52
202608021500,202608021530,23.487,113.248,2.51
202608021500,202608021530,23.487,113.268,3.64
202608021500,202608021530,23.487,113.287,4.27
202608021500,202608021530,23.487,113.307,4.02
202608021500,202608021530,23.487,113.326,7.96
202608021500,202608021530,23.487,113.345,14.44
202608021500,202608021530,23.487,113.365,20.60
202608021500,202608021530,23.487,113.384,12.20
202608021500,202608021530,23.487,113.404,2.95
202608021500,202608021530,23.487,113.423,0.33
202608021500,202608021530,23.487,113.443,0.10
202608021500,202608021530,23.487,113.462,0.03
202608021500,202608021530,23.487,113.482,0.01
202608021500,202608021530,23.487,113.501,0.01
202608021500,202608021530,23.487,113.521,0.15
202608021500,202608021530,23.487,113.540,0.88
202608021500,202608021530,23.487,113.560,1.95
202608021500,202608021530,23.487,113.579,2.40
202608021500,202608021530,23.487,113.598,0.97
202608021500,202608021530,23.487,113.618,0.42
202608021500,202608021530,23.487,113.637,0.55
202608021500,202608021530,23.487,113.657,0.41
202608021500,202608021530,23.487,113.676,0.11
202608021500,202608021530,23.487,113.696,0.02
202608021500,202608021530,23.487,113.715,0.00
202608021500,202608021530,23.487,113.735,0.09
202608021500,202608021530,23.487,113.754,0.27
202608021500,202608021530,23.487,113.774,0.67
202608021500,202608021530,23.487,113.793,1.29
202608021500,202608021530,23.487,113.812,1.55
202608021500,202608021530,23.487,113.832,1.21
202608021500,202608021530,23.487,113.851,0.95
202608021500,202608021530,23.487,113.871,1.30
202608021500,202608021530,23.487,113.890,1.60
202608021500,202608021530,23.487,113.910,1.78
202608021500,202608021530,23.487,113.929,1.85
202608021500,202608021530,23.487,113.949,1.42
202608021500,202608021530,23.487,113.968,1.02
202608021500,202608021530,23.487,113.988,0.70
202608021500,202608021530,23.487,114.007,0.55
202608021500,202608021530,23.487,114.026,0.72
202608021500,202608021530,23.487,114.046,0.86
202608021500,202608021530,23.487,114.065,0.73
202608021500,202608021530,23.487,114.085,0.23
202608021500,202608021530,23.487,114.104,0.10
202608021500,202608021530,23.487,114.124,0.03
202608021500,202608021530,23.487,114.143,0.01
202608021500,202608021530,23.487,114.163,0.06
202608021500,202608021530,23.487,114.182,0.81
202608021500,202608021530,23.487,114.202,1.88
202608021500,202608021530,23.487,114.221,4.79
202608021500,202608021530,23.487,114.240,5.12
202608021500,202608021530,23.487,114.260,0.91
202608021500,202608021530,23.487,114.279,0.17
202608021500,202608021530,23.487,114.299,0.16
202608021500,202608021530,23.487,114.318,0.42
202608021500,202608021530,23.487,114.338,0.40
